timestamp_us,lat_synth,lon_synth,v_north_mps,v_east_mps,gps_heading_deg
51106267,43.48223933333333,-80.54229883333333,0.0,0.0,135
51529331,43.48223,-80.542282,0.0,0.0,125
51709960,43.482225666666665,-80.54227283333333,0.0,0.0,123
52710409,43.48220416666667,-80.54222483333334,0.0,0.0,122
52807028,43.482201833333335,-80.54222016666667,0.0,0.0,124
53009684,43.48219683333333,-80.54221083333333,0.0,0.0,128
53531379,43.48218283333333,-80.54219033333334,0.0,0.0,136
53708283,43.482176833333334,-80.54218316666666,0.0,0.0,140
53804332,43.48217366666667,-80.54217983333334,0.0,0.0,143
54710832,43.48214316666667,-80.54215816666667,0.0,0.0,162
55610619,43.48210983333333,-80.54215583333334,0.0,0.0,186
55708950,43.48210616666667,-80.54215666666667,0.0,0.0,189
56008977,43.4820955,-80.54216083333333,0.0,0.0,197
56307870,43.482085166666664,-80.54216716666667,0.0,0.0,205
57009485,43.482062166666665,-80.54219183333333,0.0,0.0,226
57309814,43.482054,-80.54220683333334,0.0,0.0,235
57609984,43.482047666666666,-80.5422235,0.0,0.0,244
58009380,43.482042666666665,-80.54224716666667,0.0,0.0,257
58309376,43.482041333333335,-80.5422655,0.0,0.0,265
58610164,43.482042666666665,-80.54228416666666,0.0,0.0,277
59007573,43.482047666666666,-80.54230766666667,0.0,0.0,290
59311039,43.48205383333333,-80.54232383333333,0.0,0.0,299
59704198,43.482065,-80.542343,0.0,0.0,312
59909623,43.482071833333336,-80.54235116666666,0.0,0.0,319
60307109,43.482086833333334,-80.54236433333334,0.0,0.0,331
60607200,43.48209933333333,-80.54237083333334,0.0,0.0,340
60812094,43.48210783333333,-80.54237366666666,0.0,0.0,347
61007903,43.48211633333333,-80.542375,0.0,0.0,354
61304493,43.48212933333333,-80.54237433333333,0.0,0.0,3
61611156,43.482142333333336,-80.5423705,0.0,0.0,14
61704724,43.4821465,-80.54236866666666,0.0,0.0,17
62607419,43.48217733333333,-80.54233583333334,0.0,0.0,50
62910670,43.48218383333333,-80.54232116666667,0.0,0.0,60
63009099,43.482185666666666,-80.542316,0.0,0.0,63
63308081,43.482189166666664,-80.54229983333333,0.0,0.0,74
63916572,43.48218933333333,-80.54226716666666,0.0,0.0,97
64007439,43.48218833333333,-80.54226183333333,0.0,0.0,102
64605964,43.482178166666664,-80.54223383333333,0.0,0.0,124
64706352,43.48217566666667,-80.54222966666667,0.0,0.0,128
65006891,43.48216683333333,-80.54221883333334,0.0,0.0,140
65306790,43.4821565,-80.5422105,0.0,0.0,151
65527042,43.482149,-80.5422065,0.0,0.0,159
65607734,43.48214516666667,-80.542205,0.0,0.0,161
65706452,43.482141166666665,-80.54220366666667,0.0,0.0,165
66307246,43.48211633333333,-80.54220283333333,0.0,0.0,185
66607780,43.482104166666666,-80.542207,0.0,0.0,195
66706941,43.48210016666667,-80.542209,0.0,0.0,198
66910679,43.48209216666667,-80.54221383333334,0.0,0.0,204
67007002,43.48208833333333,-80.54221666666666,0.0,0.0,206
67213498,43.482081,-80.54222316666667,0.0,0.0,211
67406234,43.48207383333333,-80.5422305,0.0,0.0,217
67523370,43.4820705,-80.5422345,0.0,0.0,219
67608417,43.48206716666667,-80.54223883333333,0.0,0.0,222
68006042,43.48205516666667,-80.542258,0.0,0.0,232
68608982,43.482042166666666,-80.54229166666667,0.0,0.0,246
68910393,43.48203783333334,-80.54231,0.0,0.0,252
69004217,43.482036666666666,-80.54231616666667,0.0,0.0,254
69209409,43.48203483333333,-80.5423285,0.0,0.0,258
69709957,43.48203183333333,-80.54235966666667,0.0,0.0,263
70205465,43.482030333333334,-80.5423905,0.0,0.0,266
70308087,43.48203,-80.5423965,0.0,0.0,266
70607836,43.48202916666666,-80.54241466666667,0.0,0.0,265
70908968,43.48202766666667,-80.54243233333334,0.0,0.0,262
